epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,1.1678736724700263,0.4663542015400067,0.8506300583421944,0.6526104417670683,69.38826870918274
2,0.7869868623852504,0.690436335230443,0.6870081525251089,0.7238955823293173,67.57438230514526
3,0.5827693158049573,0.7695569690882714,0.44045181781891357,0.8534136546184738,69.03815388679504
4,0.46772039337039006,0.8246847450061378,0.3388969186678469,0.8684738955823293,67.33222079277039
5,0.3930763814641141,0.853587769222185,0.32300616950395117,0.9066265060240963,69.80418801307678
6,0.4185138637899036,0.8391920544582078,0.26704645372298824,0.9136546184738956,70.31306385993958
7,0.3396956897476344,0.8716661086932262,0.24033255677625356,0.9146586345381527,68.43295335769653
8,0.35758331819459166,0.8629617230219842,0.29930792443723564,0.8765060240963856,69.90814924240112
9,0.3102678708260699,0.8837183350072536,0.22636336207868585,0.9206827309236948,70.013601064682
10,0.2747870513257032,0.900234348844995,0.2254670457428239,0.9146586345381527,68.85433268547058
11,0.25884789561682575,0.9012387010378305,0.16561959151283326,0.9497991967871486,69.65084218978882
12,0.2564748695500394,0.9017966744782948,0.25538719379638575,0.8995983935742972,70.39565372467041
13,0.2451775666526247,0.9079343823234014,0.1725625973868083,0.9447791164658634,68.29650855064392
14,0.26084702292426254,0.9050329204329874,0.18743083371694788,0.9257028112449799,70.06400322914124
